source_name,domain_tag,url,date_collected,sentence_index,sentence
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,42,Injili Maloko Ngima
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,43,This is an hour’s show that winds up the Sabbath for our seventh day...
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,44,This is an easy and slow musical show that unwinds your Saturday evening interlaced with a few shout outs...
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,45,Nguono Mar Nyasaye
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,46,This program is also known as the morning glory.
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,47,A relaxed Sunday afternoon Musical Show that Purely gives a dose of nostalgic and therapeutic Rhumba...
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,48,This is a health discussion show where a health expert gives information regarding some common ailments...
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,49,Wapuonjre Dholuo loosely translated as “Let’s learn dholuo language” is...
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,50,This is a pre recorded catholic mix songs to wind down your Sunday after church.
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,51,Ngolo Nam Oyiech
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,52,This is a very entertaining Sunday evening non-stop music show that starts immediately after 7 o’clock...
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,53,Keto Mwandu Elwet Jothurwa
ramogi_fm,Mixed,https://royalmedia.co.ke/brands/ramogi-fm/,2026-07-10,54,A well-researched moderated program seeks to empower our...
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,0,About Us - Royal Media Services
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,1,tv viewers per day
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,2,radio listeners per day
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,3,social media reach per month
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,4,digital platforms monthly pageviews
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,5,Who we are
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,6,Royal Media Services (RMS) is a prominent Kenyan media company that has made a significant impact on the country's media landscape.
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,7,Founded in 1996 by Dr.
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,8,"Macharia, RMS has emerged as a leading player in the industry, providing diverse broadcasting platforms and publications to a wide audience."
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,9,"RMS operates multiple television and stations, allowing it to reach audiences across different regions and linguistic communities in Kenya."
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,10,"Its television stations include Citizen TV, Inooro TV, and others."
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,11,"Citizen TV, in particular, has gained immense popularity and has become one of the most-watched free-to-air TV channels in Kenya."
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,12,"Ramogi FM serves the Luo-speaking community, Musyi FM broadcasts in the Kamba language, and there are other stations targeting various communities as well."
ramogi_fm,Mixed,https://royalmedia.co.ke/about-us/,2026-07-10,13,"These radio stations play a vital role in disseminating news, information, and entertainment to diverse audiences, contributing to the preservation and promotion of local languages and cultures."
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,0,Our Programming - Royal Media Services
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,1,3 TV Stations
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,2,"RMS is home to 3 TV stations: Citizen TV, Inooro TV, and Ramogi TV."
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,3,"Citizen TV caters to audiences speaking English and Swahili, while Inooro TV targets the Mt."
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,4,"Kenya region with programming in Kikuyu, and Ramogi TV serves the Nyanza region with content in Dholuo"
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,5,13 Radio Stations
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,6,"RMS' radio network boasts 13 stations, with Radio Citizen broadcasting in Swahili, Hot 96 in English, and the remaining 11 stations in vernacular languages."
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,7,Citizen Digital is the online home to all Royal Media Services Brands.
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,8,It is the fastest growing digital news outlet in Kenya today.
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,9,"It is home to the Citizen news app, Citizen.Digital website and home the vibrant social media pages of the RMS outlets"
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,10,"Royal Media Services offers a diverse range of programming, encompassing entertaining and informative content tailored for the entire family."
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,11,"Our lineup features a wholesome bouquet of shows available in both national and local languages, ensuring that viewers across Kenya can enjoy content in their mother tongue."
ramogi_fm,Mixed,https://royalmedia.co.ke/our-programming/,2026-07-10,12,This commitment to diversity provides an invaluable opportunity for many Kenyans to engage with media that resonates deeply with their cultural identity and community.
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,0,Sustainability - Royal Media Services
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,1,Educating the Nation:
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,2,RMS has launched crucial sustainability projects across its media outlets to inform and educate the nation about the great need to protect and conserve the environment.
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,3,"Citizen Planet is one of the RMS Group editorial initiative committed to advancing sustainability, with a primary emphasis on tackling climate change, pollution, and biodiversity."
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,4,"Through this program, RMS aims to heighten awareness and provide public education about the current state of the planet."
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,5,Our goal is to equip the society with the necessary knowledge and resources to safeguard and conserve the planet for the benefit of future generations.
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,6,Royal Media Services looks forward to partnering and collaborating with the business community on sustainability initiatives.
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,7,"As a media house, we are deeply committed to effectively communicating with the public over the long term, aiming to influence behavioural change and create a meaningful impact on society."
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,8,"During our partnership, RMS will strategically allocate substantial resources to editorial efforts, with the goal of raising awareness, inspiring action, and catalyzing positive change in sustainability practices within communities."
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,9,"Talent development stands as a cornerstone of Royal Media Services, a commitment we’ve upheld for over two decades through our internship program."
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,10,This initiative has not only cultivated brilliant journalists but also nurtured leaders and role models.
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,11,"RMS is excited to expand this program, offering apprenticeship opportunities to graduates and youth across the country, guiding them towards making informed career choices and empowering them to excel in their chosen paths."
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,12,"Communities are at the forefront of innovation, crafting solutions to address emerging societal challenges."
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,13,"From developing strategies to mitigate the impacts of climate change to disseminating valuable information aimed at nurturing a generation of young innovators and creators, these initiatives are driving positive change."
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,14,"Additionally, some communities are focused on building resilience and empowering champions of change, ensuring the continuity of impactful sustainability efforts for future generations."
ramogi_fm,Mixed,https://royalmedia.co.ke/sustainability/,2026-07-10,15,Royal Media Services continues to engages with all the champions in the community to amplify their voices and share it with the nation to accelerate change
ramogi_fm,Mixed,https://royalmedia.co.ke/engagements/,2026-07-10,0,Engagements - Royal Media Services
ramogi_fm,Mixed,https://royalmedia.co.ke/engagements/,2026-07-10,1,Royal Media Services offers engaging and interactive programming that invites audience participation.
ramogi_fm,Mixed,https://royalmedia.co.ke/engagements/,2026-07-10,2,"From talk shows and live events to social media campaigns, we encourage our viewers to actively engage and share their thoughts, creating a dynamic and inclusive media experience."
ramogi_fm,Mixed,https://royalmedia.co.ke/engagements/,2026-07-10,3,We value the voices and perspectives of our audience and actively seek their input.
ramogi_fm,Mixed,https://royalmedia.co.ke/engagements/,2026-07-10,4,"Through surveys, polls, and feedback mechanisms, we foster a sense of community involvement, ensuring that their opinions shape our content and initiatives."
ramogi_fm,Mixed,https://royalmedia.co.ke/engagements/,2026-07-10,5,"At Royal Media Services, we prioritize audience interaction through various platforms."
