source_name,domain_tag,url,date_collected,status,raw_text
krcs,Mixed,https://redcross.or.ke/,2026-07-10,OK,"Kenya Red Cross – Always There
Donate
HAPPENING NOW
Drought Crisis
in Kenya
Severe drought continues to affect Kenya’s Arid and Semi-Arid Lands (ASAL), leaving more than 2.12 million people facing acute food insecurity. Malnutrition rates are rising, particularly among children under five and pregnant and lactating women. Despite worsening conditions and increasing humanitarian needs, the
Kenya Red Cross Society
is providing life-saving assistance to the most affected counties.
Learn More
Learn More
Learn More
D
o
n
a
t
e
JOIN US TODAY
Become a
Kenya Red Cross Volunteer
Help us to support families and communities affected by armed conflict or by natural disasters in conflict regions all over the world
Member
Member
Member
Volunteer
Volunteer
Volunteer
HAPPENING NOW
Floods
in Kenya
Flooding across Kenya continues to take a devastating toll, Kenya Red Cross Society is tracking the impacts of flooding across 39 counties as of May 2026. Response teams have been mobilized on the ground to reach the most affected communities.  Over 26 million early warning SMS alerts have been dispatched to at-risk communities across the country. Currently, over 60,000 households have been affected across the country and more than 12,700 have been displaced.
JOIN US TODAY
Become a
Kenya Red Cross Volunteer
Help us to support families and communities affected by armed conflict or by natural disasters in conflict regions all over the world
Member
Member
Member
Volunteer
Volunteer
Volunteer
HAPPENING NOW
Drought Crisis
in Kenya
Severe drought continues to affect Kenya’s Arid and Semi-Arid Lands (ASAL), leaving more than 2.12 million people facing acute food insecurity. Malnutrition rates are rising, particularly among children under five and pregnant and lactating women. Despite worsening conditions and increasing humanitarian needs, the
Kenya Red Cross Society
is providing life-saving assistance to the most affected counties.
Learn More
Learn More
Learn More
D
o
n
a
t
e
HAPPENING NOW
Floods
in Kenya
Flooding across Kenya continues to take a devastating toll, Kenya Red Cross Society is tracking the impacts of flooding across 39 counties as of May 2026. Response teams have been mobilized on the ground to reach the most affected communities.  Over 26 million early warning SMS alerts have been dispatched to at-risk communities across the country. Currently, over 60,000 households have been affected across the country and more than 12,700 have been displaced.
1
Fundamental Principles
We are guided by
Our
Fundamental
Principles
The Kenya Red Cross Society is guided by these 7 fundamental principles of the Red Cross Red Crescent Movement:
Humanity
Impartiality
Neutrality
Independence
Voluntary Service
Unity
Universality
Learn More
Learn More
Learn More
OUR PROGRAMS
What
We
Do
Disaster Management
The department provides immediate relief to affected populations to save lives, protect livelihoods, and strengthen recovery from disasters and crises
Read more
Health
The health department embraces the integration approach to ensure affordable, accessible and equitable community-based health care.
Read more
Youth Development
In a bid to promote youth-led volunteerism and sustainable action, the department has created You-Red spaces, that are open to all young people interested in…
Read more
National Society Development
Organizational Development focuses on the capacity of KRCS to adequetely perform its mandate, this includes branches and volunteers.
Read more
Special Programmes
Kenya Red Cross has special programmes that cater for special needs of vunerable communities accross the country.
Read more
Special Programmes
Kenya Red Cross has special programmes that cater for special needs of vunerable communities accross the country.
Read more
Explore all the Other Programs by KRCS
All Programmes
All Programmes
All Programmes
Join Kenya Red Cross
Become
a
Member
or
a
Volunteer
Volunteer
A volunteer is anyone willing to offer their time, skills or resources to support our humanitarian work
Volunteerism
Volunteerism
Volunteerism
Member
A member is one who has duly paid the stipulated KRCS membership fees. KRCS Members have distinct functions and priviledges
Membership
Membership
Membership
Volunteerism
Volunteerism
Volunteerism
Watch Video
47
County Branches
8
Regional Offices
5
M +
Beneficiaries Supported Annually
260
K
Members and Volunteers
About Us
We
Work
to
Alleviate
Human
Suffering
Our Mission
Our Vision
Core Values
Our History
Learn More
Learn More
Learn More
1
k +
Community Voices
Our Vision
OUR PROJECTS
Our
Recent
Projects
All
Disaster Management
SLL Project
Disaster Management
Supporters | Donors | Wellwishers
Our Partners
Celebrating Our Achievements
Accreditations & Awards
HAVE A CONCERN?
Report
Your
Concern
Confidentially
Report Now
Report Now
Report Now
latest updates
Read
Our
Impact
Stories
When Waters Rise
Read Article
The Cost of Drought in Turkana
Read Article
How Tana River Communities Take Action: Preparing Early for Droughts and Floods
Read Article
Water for Dignity: A Nation’s Story of Resilience
Read Article
From Tradition to Transition: A Community Rewriting Harmful Norms
Read Article
Rainwater Tanks Bring Clean Water to Lamu School
Read Article
Talk
To
Us
About Us
Kenya Red Cross Society is a humanitarian relief organization, created through an act of parliament CAP256 of the laws of Kenya
We are auxiliary to the National and County Governments and work to alleviate human suffering and preserve life and human dignity.
Contact Us
[email protected]
(+254) 073 037 000
South C (Bellevue), Red Cross Road, off Popo Road
Facebook
Twitter
Linkedin
Instagram
YouTube"
krcs,Mixed,https://redcross.or.ke/programmes/health/,2026-07-10,OK,"Health – Kenya Red Cross
Health
Home
Our Programmes
Health
Health Services
Health, Nutrition and Social Services
The Health and Social Services (HSS) department embraces the integration approach to ensure affordable, accessible and equitable community-based health care. The interventions are anchored to the KCRS 2016-2020 strategic plan, the National Health Sector Strategy III, Vision 2030(the social pillar) and Sustainable Development Goals.
Health  Programmes
Programmes
Public Health in Emergencies
The Health, Nutrition, and Social Services (HSS) Department Focuses on primary health…
Read more
Global Fund Program
Do you have dream to expand your business globally? we are providing…
Read more
Training-institute
We are providing growth consultancies & financial services for companies who want…
Read more
PR and Communications
No one can deny the importance of digital marketing now a days…
Read more
Health Projects
Projects
About Us
Kenya Red Cross Society is a humanitarian relief organization, created through an act of parliament CAP256 of the laws of Kenya
We are auxiliary to the National and County Governments and work to alleviate human suffering and preserve life and human dignity.
Contact Us
[email protected]
(+254) 073 037 000
South C (Bellevue), Red Cross Road, off Popo Road
Facebook
Twitter
Linkedin
Instagram
YouTube"
krcs,Mixed,https://redcross.or.ke/service/public-health-emergencies/,2026-07-10,OK,"Public Health in Emergencies – Kenya Red Cross
Public Health in Emergencies
Home
Our Programmes
Public Health in Emergencies
Health and Social Services
Disaster Management
Organizational Development
Global Fund
EMAIL FOR PARTNERSHIP
[email protected]
Public Health in Emergencies
The Health, Nutrition, and Social Services (HSS) Department Focuses on primary health care; the most efficient and cost-effective way to achieve universal health coverage through a gender-responsive, protective, and inclusive lens.
Key Thematic Areas
Our work in emergencies is focused on two thematic areas;
Primary Health Care for Refugees and Host communities; running health facilities for primary health care services with minimal secondary services in Kalobeyei (part of larger Kakuma) and IFO (Dadaab).
Community Epidemic and Pandemic Preparedness especially on disease outbreaks. The society has been a champion of One Health and supported capacity at the community level but also enhanced collaboration with counties monitored through a community-based health information system (CBHIS). Within the organisation's national preparedness plan, KRCS has effectively responded to human and animal disease outbreaks including Cholera, Rift Valley Fever, Yellow Fever, and Kala-azar (Leishmaniasis).
Our Approach
1
Community Sensitization
We understand the importance of approaching each work integrally and believe in the power of simple..
2
Surveillance and Response
Design studio founded in London and expanded our services, and become a multinational firm.
3
Community Health
Increase social reach and productivity with our App Directory, a collection of famous applications.
4
Emergency Preparedness
Don’t worry about any thing, our security experts will install your new system, activate it.
5
Exit Strategy
Rounding up a bunch of specific designs & talking about the merits of each is perfect way.
6
Media Marketing
Helping families live intelligently means we’re always working to bring our customers the latest technology.
PUBLIC HEALTH IN EMERGENCIES
Featured
Stories
April 28, 2026
Kelvin Njenga
When Waters Rise
Read Article
April 13, 2026
Kelvin Njenga
The Cost of Drought in Turkana
Read Article
April 13, 2026
Kelvin Njenga
How Tana River Communities Take Action: Preparing Early for Droughts and Floods
Read Article
March 11, 2026
Kelvin Njenga
Water for Dignity: A Nation’s Story of Resilience
Read Article
March 2, 2026
Kelvin Njenga
From Tradition to Transition: A Community Rewriting Harmful Norms
Read Article
February 27, 2026
Kelvin Njenga
Rainwater Tanks Bring Clean Water to Lamu School
Read Article
Previous works
Public
Health
Projects
About Us
Kenya Red Cross Society is a humanitarian relief organization, created through an act of parliament CAP256 of the laws of Kenya
We are auxiliary to the National and County Governments and work to alleviate human suffering and preserve life and human dignity.
Contact Us
[email protected]
(+254) 073 037 000
South C (Bellevue), Red Cross Road, off Popo Road
Facebook
Twitter
Linkedin
Instagram
YouTube"
krcs,Mixed,https://redcross.or.ke/publications/,2026-07-10,OK,"Publications – Kenya Red Cross
Publications
Home
Publications
2025 Annual Report: Marking 60 Years of Service
READ MORE
Annual Report 2024 – Growth, Collaboration and Community Engagement
READ MORE
Annual Report 2020 – Responding to the Covid -19 Pandemic
READ MORE
About Us
Kenya Red Cross Society is a humanitarian relief organization, created through an act of parliament CAP256 of the laws of Kenya
We are auxiliary to the National and County Governments and work to alleviate human suffering and preserve life and human dignity.
Contact Us
[email protected]
(+254) 073 037 000
South C (Bellevue), Red Cross Road, off Popo Road
Facebook
Twitter
Linkedin
Instagram
YouTube"
krcs,Mixed,https://redcross.or.ke/publications/?publicationField=Strategic%20Plan,2026-07-10,OK,"Publications – Kenya Red Cross
Publications
Home
Publications
2025 Annual Report: Marking 60 Years of Service
READ MORE
Annual Report 2024 – Growth, Collaboration and Community Engagement
READ MORE
Annual Report 2020 – Responding to the Covid -19 Pandemic
READ MORE
About Us
Kenya Red Cross Society is a humanitarian relief organization, created through an act of parliament CAP256 of the laws of Kenya
We are auxiliary to the National and County Governments and work to alleviate human suffering and preserve life and human dignity.
Contact Us
[email protected]
(+254) 073 037 000
South C (Bellevue), Red Cross Road, off Popo Road
Facebook
Twitter
Linkedin
Instagram
YouTube"
krcs,Mixed,https://redcross.or.ke/publications/?publicationField=Annual%20Report,2026-07-10,OK,"Publications – Kenya Red Cross
Publications
Home
Publications
2025 Annual Report: Marking 60 Years of Service
READ MORE
Annual Report 2024 – Growth, Collaboration and Community Engagement
READ MORE
Annual Report 2020 – Responding to the Covid -19 Pandemic
READ MORE
About Us
Kenya Red Cross Society is a humanitarian relief organization, created through an act of parliament CAP256 of the laws of Kenya
We are auxiliary to the National and County Governments and work to alleviate human suffering and preserve life and human dignity.
Contact Us
[email protected]
(+254) 073 037 000
South C (Bellevue), Red Cross Road, off Popo Road
Facebook
Twitter
Linkedin
Instagram
YouTube"
krcs,Mixed,https://redcross.or.ke/publications/?publicationField=ReachOut%20Magazine,2026-07-10,OK,"Publications – Kenya Red Cross
Publications
Home
Publications
2025 Annual Report: Marking 60 Years of Service
READ MORE
Annual Report 2024 – Growth, Collaboration and Community Engagement
READ MORE
Annual Report 2020 – Responding to the Covid -19 Pandemic
READ MORE
About Us
Kenya Red Cross Society is a humanitarian relief organization, created through an act of parliament CAP256 of the laws of Kenya
We are auxiliary to the National and County Governments and work to alleviate human suffering and preserve life and human dignity.
Contact Us
[email protected]
(+254) 073 037 000
South C (Bellevue), Red Cross Road, off Popo Road
Facebook
Twitter
Linkedin
Instagram
YouTube"
